2023-10-04 01:52:09,011 INFO     Building assets from: soccertwos-stage2
2023-10-04 01:52:09,182 DEBUG    Popen(['git', 'rev-parse', '--show-toplevel'], cwd=D:\MAI\TFM\codebases\gatech-unity-football-cm3, universal_newlines=False, shell=None, istream=None)
2023-10-04 01:52:13,873 DEBUG    Starting new HTTPS connection (1): api.wandb.ai:443
2023-10-04 01:52:14,170 DEBUG    https://api.wandb.ai:443 "POST /graphql HTTP/1.1" 200 None
2023-10-04 01:52:14,186 DEBUG    Starting new HTTPS connection (1): api.wandb.ai:443
2023-10-04 01:52:14,396 DEBUG    https://api.wandb.ai:443 "POST /graphql HTTP/1.1" 200 None
2023-10-04 01:52:14,673 DEBUG    Popen(['git', 'cat-file', '--batch-check'], cwd=D:\MAI\TFM\codebases\gatech-unity-football-cm3, universal_newlines=False, shell=None, istream=<valid stream>)
2023-10-04 01:52:16,539 INFO     Tracking wincounts in a2c_comparison_486850_win_counts_history.txt
2023-10-04 01:52:16,539 INFO     CustomSideChannel initialized
2023-10-04 01:52:16,539 INFO     Extracting policies for env_name: SoccerTwosRR
2023-10-04 01:53:14,678 DEBUG    Starting new HTTPS connection (1): o151352.ingest.sentry.io:443
2023-10-04 01:53:14,823 DEBUG    https://o151352.ingest.sentry.io:443 "POST /api/5288891/envelope/ HTTP/1.1" 200 2
2023-10-04 01:53:35,653 INFO     Training iteration 1
2023-10-04 01:55:52,002 INFO     Iteration 1 finished in 136.34659004211426s, # of env_steps trained 4000
2023-10-04 01:55:52,005 INFO     Training iteration 2
2023-10-04 01:58:05,750 INFO     Iteration 2 finished in 133.74451637268066s, # of env_steps trained 8000
2023-10-04 01:58:05,761 INFO     Training iteration 3
2023-10-04 02:00:19,778 INFO     Iteration 3 finished in 134.01599740982056s, # of env_steps trained 12000
2023-10-04 02:00:19,788 INFO     Training iteration 4
2023-10-04 02:02:34,447 INFO     Iteration 4 finished in 134.65800023078918s, # of env_steps trained 16000
2023-10-04 02:02:34,456 INFO     Training iteration 5
2023-10-04 02:04:48,544 INFO     Iteration 5 finished in 134.08599948883057s, # of env_steps trained 20000
2023-10-04 02:04:48,552 INFO     Training iteration 6
2023-10-04 02:07:02,568 INFO     Iteration 6 finished in 134.01351618766785s, # of env_steps trained 24000
2023-10-04 02:07:02,577 INFO     Training iteration 7
2023-10-04 02:09:16,824 INFO     Iteration 7 finished in 134.24598908424377s, # of env_steps trained 28000
2023-10-04 02:09:16,834 INFO     Training iteration 8
2023-10-04 02:11:31,105 INFO     Iteration 8 finished in 134.27056622505188s, # of env_steps trained 32000
2023-10-04 02:11:31,118 INFO     Training iteration 9
2023-10-04 02:13:46,110 INFO     Iteration 9 finished in 134.99105191230774s, # of env_steps trained 36000
2023-10-04 02:13:46,124 INFO     Training iteration 10
2023-10-04 02:16:00,170 INFO     Iteration 10 finished in 134.0440056324005s, # of env_steps trained 40000
