2023-10-04 01:52:09,073 INFO     Building assets from: soccertwos-stage2
2023-10-04 01:52:09,261 DEBUG    Popen(['git', 'rev-parse', '--show-toplevel'], cwd=D:\MAI\TFM\codebases\gatech-unity-football-cm3, universal_newlines=False, shell=None, istream=None)
2023-10-04 01:52:13,998 DEBUG    Starting new HTTPS connection (1): api.wandb.ai:443
2023-10-04 01:52:14,201 DEBUG    https://api.wandb.ai:443 "POST /graphql HTTP/1.1" 200 None
2023-10-04 01:52:14,217 DEBUG    Starting new HTTPS connection (1): api.wandb.ai:443
2023-10-04 01:52:14,411 DEBUG    https://api.wandb.ai:443 "POST /graphql HTTP/1.1" 200 None
2023-10-04 01:52:14,673 DEBUG    Popen(['git', 'cat-file', '--batch-check'], cwd=D:\MAI\TFM\codebases\gatech-unity-football-cm3, universal_newlines=False, shell=None, istream=<valid stream>)
2023-10-04 01:52:16,539 INFO     Tracking wincounts in ppo_comparison_262240_win_counts_history.txt
2023-10-04 01:52:16,539 INFO     CustomSideChannel initialized
2023-10-04 01:52:16,539 INFO     Extracting policies for env_name: SoccerTwosRR
2023-10-04 01:53:14,678 DEBUG    Starting new HTTPS connection (1): o151352.ingest.sentry.io:443
2023-10-04 01:53:14,823 DEBUG    https://o151352.ingest.sentry.io:443 "POST /api/5288891/envelope/ HTTP/1.1" 200 2
2023-10-04 01:53:27,443 INFO     Training iteration 1
2023-10-04 01:56:01,520 INFO     Iteration 1 finished in 154.07542514801025s, # of env_steps trained 4000
2023-10-04 01:56:01,523 INFO     Training iteration 2
2023-10-04 01:58:33,907 INFO     Iteration 2 finished in 152.38352394104004s, # of env_steps trained 8000
2023-10-04 01:58:33,916 INFO     Training iteration 3
2023-10-04 02:01:06,029 INFO     Iteration 3 finished in 152.1119990348816s, # of env_steps trained 12000
2023-10-04 02:01:06,038 INFO     Training iteration 4
2023-10-04 02:03:38,561 INFO     Iteration 4 finished in 152.52100110054016s, # of env_steps trained 16000
2023-10-04 02:03:38,569 INFO     Training iteration 5
2023-10-04 02:06:10,826 INFO     Iteration 5 finished in 152.25551891326904s, # of env_steps trained 20000
2023-10-04 02:06:10,837 INFO     Training iteration 6
2023-10-04 02:08:43,068 INFO     Iteration 6 finished in 152.22999835014343s, # of env_steps trained 24000
2023-10-04 02:08:43,078 INFO     Training iteration 7
2023-10-04 02:11:14,850 INFO     Iteration 7 finished in 151.77056574821472s, # of env_steps trained 28000
2023-10-04 02:11:14,860 INFO     Training iteration 8
